published_at,body,location,tags,title,slug,timecode,place
2013-11-14,Dave Swift sliding through Curve 7,"Krasnaya Polyana, Russia",David Swift,November 14,11-14,5m 17s,
2013-11-15,Matt making an ice bath,"Rosa Khutor, Russia",Matt Antoine,November 15,11-15,5m 18s,
2013-11-16,The russian supermarket,"Rosa Khutor, Russia",Matt Antoine,November 16,11-16,5m 19s,
2013-11-17,"Matt making it rain. Spaceebo, baby!","Rosa Khutor, Russia",Matt Antoine,November 17,11-17,5m 20s,
2013-11-18,Richard and Cheech fixing a broken saddle weld,"Krasnaya Polyana, Russia","Richard, Cheech",November 18,11-18,5m 21s,
2013-11-19,Donna giving me the international sign for hello. ,"Krasnaya Polyana, Russia","Donna Creighton, John Daly",November 19,11-19,5m 22s,
2013-11-20,Flight to Munich over the Black Sea,"AER, MUC ",,November 20,11-20,5m 23s,
2013-11-21,Flight to Canada from London and a long day,"MUC, LHR, YYC",,November 21,11-21,5m 24s,
2013-11-22,Noelle through the straight and into kresiel,"Calgary, Canada",Noelle Pikus Pace,November 22,11-22,5m 25s,
2013-11-23,Olsen prepares for the push champs,,Justin Olsen,November 23,11-23,5m 26s,
2013-11-24,A canadian slider through Curve 7 ,,,November 24,11-24,5m 27s,
2013-11-25,Hitting the speed bumps at about 60. ,,"Matt Antoine, John Daly",November 25,11-25,5m 28s,
2013-11-26,Beautiful calgary sunset,,,November 26,11-26,5m 29s,
2013-11-27,Coach Zach tests out the old legs and almost falls,,Zach Lund,November 27,11-27,5m 30s,
2013-11-28,Thanksgiving burgers,,"John Daly, Matt Antoine",November 28,11-28,5m 31s,
2013-11-29,The first WC of the season (Cassie on the line),,,November 29,11-29,5m 32s,
2013-11-30,Staring at the Rockies with a German coach,YYC - DEN - SLC,,November 30,11-30,5m 33s,
2013-12-01,Driving a BMW,"Park City, UT",,December 1,12-01,5m 34s,
2013-12-02,Training at the Basin,,,December 2,12-02,5m 35s,
2013-12-03,"Feliz Navidad, Ander!",,Ander Mirabell,December 3,12-03,5m 36s,
2013-12-04,Driving through the canyon,,,December 4,12-04,5m 37s,
2013-12-05,John and I might have trashed the condo,,John Daly,December 5,12-05,5m 38s,
2013-12-06,Matt wins a bronze,,Matt Antoine,December 6,12-06,5m 39s,
2013-12-07,Ice build up on the windshield. Ridiculous,SLC-ORD-ALB,John Daly,December 7,12-07,5m 40s,
2013-12-08,My best Daft Punk impression of Get Lucky,"Lake Placid, NY",Kyle Tress,December 8,12-08,5m 41s,
2013-12-09,Preparing my sled,,,December 9,12-09,5m 42s,
2013-12-10,Casino Night for the Whiteface Lodge Christmas Party,,,December 10,12-10,5m 43s,
2013-12-11,Lenny and Matt get into a wrestling match,,"Lenny Kasten, Matt Antoine",December 11,12-11,5m 44s,
2013-12-12,Morgan’s ‘Go USA’ gloves,,Morgan Tracey,December 12,12-12,5m 45s,
2013-12-13,Matt wins Gold in Lake Placid WC,,Matt Antoine,December 13,12-13,5m 46s,
2013-12-14,A snowy day,,,December 14,12-14,5m 47s,
2013-12-15,Watching the Eagles game on Sunday Ticket,,,December 15,12-15,5m 48s,
2013-12-16,Morgan probably dropped something,,Morgan Tracey,December 16,12-16,5m 49s,
2013-12-17,Snowy drive,,,December 17,12-17,5m 50s,
2013-12-18,Tiffany brought us back some real Thai Red Bull,,Tiffany,December 18,12-18,5m 51s,
